current_id,name,reaction_string,subsystem,lower_bound,upper_bound,suggested_new_id
rxn02380,Glucose-6-phosphate isomerase   reaction 1,cpd00863[c0] <=> cpd00072[c0],,-1000.0,1000.0,
rxn01977,Glucose-6-phosphate isomerase   reaction 2,cpd00079[c0] <=> cpd00863[c0],,-1000.0,1000.0,
rxn00604,Glucose-6-phosphate 1-dehydrogenase,cpd00006[c0] + cpd00079[c0] <=> cpd00005[c0] + cpd00067[c0] + cpd00911[c0],,-1000.0,1000.0,
rxn01476,Phosphogluconolactonase,cpd00001[c0] + cpd00911[c0] --> cpd00067[c0] + cpd00284[c0],,0.0,1000.0,
rxn01477,Phosphogluconate dehydratase,cpd00284[c0] --> cpd00001[c0] + cpd02711[c0],,0.0,1000.0,
rxn03884,2-dehydro-3-deoxyphosphogluconate aldolase,cpd02711[c0] <=> cpd00020[c0] + cpd00102[c0],,-1000.0,1000.0,
rxn00781,Glyceraldehyde 3-phosphate dehydrogenase,cpd00003[c0] + cpd00009[c0] + cpd00102[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd00203[c0],,-1000.0,1000.0,
rxn01100,Phosphoglycerate kinase,cpd00002[c0] + cpd00169[c0] <=> cpd00008[c0] + cpd00203[c0],,-1000.0,1000.0,
rxn01106,Phosphoglycerate mutase,cpd00482[c0] <=> cpd00169[c0],,-1000.0,1000.0,
rxn00459,Phosphopyruvate hydratase   Enolase,cpd00482[c0] <=> cpd00001[c0] + cpd00061[c0],,-1000.0,1000.0,
rxn00148,Pyruvate kinase,cpd00008[c0] + cpd00061[c0] + cpd00067[c0] --> cpd00002[c0] + cpd00020[c0],,0.0,1000.0,
rxn00250,Pyruvate carboxylase,cpd00002[c0] + cpd00020[c0] + cpd00242[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00032[c0] + cpd00067[c0],,0.0,1000.0,
rxn00247,Phosphoenolpyruvate carboxykinase,cpd00002[c0] + cpd00032[c0] --> cpd00008[c0] + cpd00011[c0] + cpd00061[c0],,0.0,1000.0,
rxn00747,Triose phosphate isomerase,cpd00102[c0] <=> cpd00095[c0],,-1000.0,1000.0,
rxn00786,Fructose bisphosphate aldolase,cpd00290[c0] <=> cpd00095[c0] + cpd00102[c0],,-1000.0,1000.0,
rxn00549,Fructose-1 6-bisphosphatase,cpd00001[c0] + cpd00290[c0] --> cpd00009[c0] + cpd00072[c0],,0.0,1000.0,
rxn01115,6 Phospho D gluconate NADP 2 oxidoreductase decarboxylating c0,cpd00006[c0] + cpd00284[c0] --> cpd00005[c0] + cpd00011[c0] + cpd00171[c0],,0.0,1000.0,
rxn00777,Ribose-5-phosphate isomerase,cpd00101[c0] <=> cpd00171[c0],,-1000.0,1000.0,
rxn01116,Ribulose-5-phosphate epimerase,cpd00171[c0] <=> cpd00198[c0],,-1000.0,1000.0,
