species	condition	time_h	mu	biomass_gL
S. meliloti	Bulk	0	0.208134	0.01
S. meliloti	Bulk	1	0.208134	0.01231378
S. meliloti	Bulk	2	0.208134	0.01516293
S. meliloti	Bulk	3	0.208134	0.0186713
S. meliloti	Bulk	4	0.208134	0.02299143
S. meliloti	Bulk	5	0.208134	0.02831115
S. meliloti	Bulk	6	0.208134	0.03486174
S. meliloti	Bulk	7	0.208134	0.04292799
S. meliloti	Bulk	8	0.208134	0.05286059
S. meliloti	Bulk	9	0.208134	0.06509139
S. meliloti	Bulk	10	0.208134	0.08015213
S. meliloti	Bulk	11	0.208134	0.09869759
S. meliloti	Bulk	12	0.208134	0.12153408
S. meliloti	Bulk	13	0.208134	0.14965443
S. meliloti	Bulk	14	0.208134	0.18428122
S. meliloti	Bulk	15	0.208134	0.2269199
S. meliloti	Bulk	16	0.208134	0.27942425
S. meliloti	Bulk	17	0.208134	0.34407696
S. meliloti	Bulk	18	0.208134	0.42368891
S. meliloti	Bulk	19	0.208134	0.52172135
S. meliloti	Bulk	20	0.208134	0.64243636
S. meliloti	Bulk	21	0.208134	0.79108221
S. meliloti	Bulk	22	0.208134	0.97412149
S. meliloti	Bulk	23	0.208134	1.19951209
S. meliloti	Bulk	24	0.208134	1.47705319
S. meliloti	Bulk	25	0.208134	1.81881128
S. meliloti	Bulk	26	0.208134	2.2396448
S. meliloti	Bulk	27	0.208134	2.75785006
S. meliloti	Bulk	28	0.208134	3.3959568
S. meliloti	Bulk	29	0.208134	4.1817076
S. meliloti	Bulk	30	0.208134	5.14926411
S. meliloti	Bulk	31	0.208134	6.34069223
S. meliloti	Bulk	32	0.208134	7.80779099
S. meliloti	Bulk	33	0.208134	9.61434461
S. meliloti	Bulk	34	0.208134	11.83889559
S. meliloti	Bulk	35	0.208134	14.57815945
S. meliloti	Bulk	36	0.208134	17.95122959
S. meliloti	Bulk	37	0.208134	22.10475507
S. meliloti	Bulk	38	0.208134	27.21931633
S. meliloti	Bulk	39	0.208134	33.51727621
S. meliloti	Bulk	40	0.208134	41.27244752
S. meliloti	Bulk	41	0.208134	50.82199739
S. meliloti	Bulk	42	0.208134	62.58110613
S. meliloti	Bulk	43	0.208134	77.06101779
S. meliloti	Bulk	44	0.208134	94.89126719
S. meliloti	Bulk	45	0.208134	116.84704988
S. meliloti	Bulk	46	0.208134	143.88292483
S. meliloti	Bulk	47	0.208134	177.17431531
S. meliloti	Bulk	48	0.208134	218.16861204
S. meliloti	Bulk	49	0.208134	268.64810057
S. meliloti	Bulk	50	0.208134	330.80744872
S. meliloti	Bulk	51	0.208134	407.34912288
S. meliloti	Bulk	52	0.208134	501.60088157
S. meliloti	Bulk	53	0.208134	617.66045454
S. meliloti	Bulk	54	0.208134	760.57369737
S. meliloti	Bulk	55	0.208134	936.55396729
S. meliloti	Bulk	56	0.208134	1153.25225771
S. meliloti	Bulk	57	0.208134	1420.08983609
S. meliloti	Bulk	58	0.208134	1748.66784704
S. meliloti	Bulk	59	0.208134	2153.27168856
S. meliloti	Bulk	60	0.208134	2651.49209017
S. meliloti	Bulk	61	0.208134	3264.98989495
S. meliloti	Bulk	62	0.208134	4020.43779562
