condition	reaction_id	flux	reduced_cost
bulk_max_n2	rxn02380	0.0	0.0
bulk_max_n2	rxn01977	0.0	0.0
bulk_max_n2	rxn00604	0.0	-0.0
bulk_max_n2	rxn01476	0.0	0.0
bulk_max_n2	rxn01477	0.0	0.0
bulk_max_n2	rxn03884	0.0	0.0
bulk_max_n2	rxn00781	0.24840926288719659	0.0
bulk_max_n2	rxn01100	-0.24840926288719656	-0.0
bulk_max_n2	rxn01106	-0.24840926288719659	-0.0
bulk_max_n2	rxn00459	0.24840926288719659	0.0
bulk_max_n2	rxn00148	0.07794580295498746	0.0
bulk_max_n2	rxn00250	0.0	0.0
bulk_max_n2	rxn00247	0.0	0.0
bulk_max_n2	rxn00747	0.8762509771725843	0.0
bulk_max_n2	rxn00786	-0.970185168188231	-0.0
bulk_max_n2	rxn00549	0.0	0.0
bulk_max_n2	rxn01115	0.0	0.0
bulk_max_n2	rxn00777	0.7605807716993294	0.0
bulk_max_n2	rxn01116	0.7566995571933995	0.0
bulk_max_n2	rxn01200	0.8565832633927644	0.0
bulk_max_n2	rxn01333	-0.8565832633927645	-0.0
bulk_max_n2	rxn00785	0.9373068669729141	0.0
bulk_max_n2	rxn00159	0.0	0.0
bulk_max_n2	rxn00161	0.0	0.0
bulk_max_n2	rxn00011p	0.0	0.0
bulk_max_n2	rxn02342	0.0	0.0
bulk_max_n2	rxn01871	0.0	-0.0
bulk_max_n2	rxn01241a	0.0	0.0
bulk_max_n2	rxn00256	0.0	0.0
bulk_max_n2	rxn00974	1.6071277795707308	0.0
bulk_max_n2	rxn01388	-1.6071277795707304	-0.0
bulk_max_n2	rxn01387	0.8027357653860341	0.0
bulk_max_n2	rxn00199	0.8027357653860342	0.0
bulk_max_n2	rxn00441	0.8684416334862773	0.0
bulk_max_n2	rxn02376	0.8684416334862773	0.0
bulk_max_n2	rxn01872	-0.8684416334862773	-0.0
bulk_max_n2	rxn01241b	0.8684416334862771	0.0
bulk_max_n2	rxn00285	-0.7985475251981927	-0.0
bulk_max_n2	rxn00288	1.677776542060442	0.0
bulk_max_n2	rxn00799	-1.83036691674072	-0.0
bulk_max_n2	rxn00248	1.9609041036211534	0.0
bulk_max_n2	rxn00330	0.09404702688043341	0.0
