condition	reaction_id	reaction_name	flux	direction
Bulk	EX_cpd00001_e0	EX H2O (water) e0	10.27398979	secretion
Bulk	EX_cpd00067_e0	EX H (proton) e0	-1.95494588	uptake
Bulk	EX_cpd00011_e0	EX CO2 (carbon dioxide) e0	2.33011021	secretion
Bulk	EX_cpd00204_e0	EX CO (carbon monoxide) c0	2.08e-06	secretion
Bulk	EX_cpd00007_e0	EX O2 (oxygen) e0	-1.58295445	uptake
Bulk	EX_cpd00149_e0	EX Co2 (cobalt) e0	-4.16e-06	uptake
Bulk	EX_cpd00009_e0	EX PO4 (phosphate e0	-0.12534392	uptake
Bulk	EX_cpd00254_e0	EX Mg (magnesium) e0	-2.08e-06	uptake
Bulk	EX_cpd00063_e0	EX Ca2 (calcium) e0	-2.08e-06	uptake
Bulk	EX_cpd00030_e0	EX Mn2 (manganese) e0	-2.08e-06	uptake
Bulk	EX_cpd10515_e0	EX Fe2 (iron) e0	-4.16e-06	uptake
Bulk	EX_cpd10516_e0	EX Fe3 (iron) e0	-2.08e-06	uptake
Bulk	EX_cpd00034_e0	EX Zn2 (zinc) e0	-2.08e-06	uptake
Bulk	EX_cpd00205_e0	EX K (potassium) e0	-2.08e-06	uptake
Bulk	EX_cpd00971_e0	EX Na (sodium) e0	-2.08e-06	uptake
Bulk	EX_cpd00104_e0	EX Biotin e0	-4.16e-06	uptake
Bulk	EX_cpd00013_e0	EX NH3 (ammonia) e0	-1.74612107	uptake
Bulk	EX_cpd00048_e0	EX SO4 (sulfate) e0	-0.03267731	uptake
Bulk	EX_cpd00027_e0	EX D-glucose e0	-0.61972444	uptake
Bulk	EX_cpd00036_e0	EX Succinate e0	-0.0056245	uptake
Bulk	EX_cpd11416_e0	EX Biomass c0	0.20813413	secretion
Bulk	EX_cpd00224_e0	EX L-arabinose e0	-0.28889705	uptake
Bulk	EX_cpd00129_e0	EX L-proline e0	-0.01102953	uptake
Bulk	EX_cpd00064_e0	EX L-ornithine e0	-0.0068175	uptake
Bulk	EX_cpd00130_e0	EX L-malate e0	-0.03649016	uptake
Bulk	EX_cpd00108_e0	EX D-galactose e0	-0.25290619	uptake
Bulk	EX_cpd00119_e0	EX L-Histidine e0	-0.0068175	uptake
Bulk	EX_cpd00107_e0	EX L-Leucine e0	-0.03596182	uptake
Bulk	EX_cpd00156_e0	EX L-Valine e0	-0.02928849	uptake
Bulk	EX_cpd00322_e0	EX L-Isoleucine e0	-0.0199273	uptake
Bulk	EX_cpd00138_e0	EX D-Mannose e0	-0.2540567	uptake
Bulk	EX_cpd00154_e0	EX Xylose e0	-0.21280795	uptake
Bulk	EX_cpd00105_e0	EX D Ribose e0	-0.01862144	uptake
Bulk	EX_cpd00069_e0	EX L-Tyrosine e0	-0.0068175	uptake
Bulk	EX_cpd00051_e0	EX L-arginine e0	-0.0068175	uptake
Bulk	EX_cpd00396_e0	EX L-rhamnose e0	-0.13913636	uptake
Bulk	EX_cpd00035_e0	EX L-Alanine e0	-0.02780553	uptake
Bulk	EX_cpd00084_e0	EX L-Cysteine e0	-0.0068175	uptake
Bulk	EX_cpd00147_e0	EX 5 Methylthioadenosine e0	1.098e-05	secretion
Bulk	EX_cpd00161_e0	EX L-Threonine e0	-0.0068175	uptake
Rhizosphere	EX_cpd00001_e0	EX H2O (water) e0	7.82820072	secretion
Rhizosphere	EX_cpd00067_e0	EX H (proton) e0	-3.65262788	uptake
Rhizosphere	EX_cpd00011_e0	EX CO2 (carbon dioxide) e0	3.14337195	secretion
Rhizosphere	EX_cpd00204_e0	EX CO (carbon monoxide) c0	1.65e-06	secretion
Rhizosphere	EX_cpd00007_e0	EX O2 (oxygen) e0	-1.54346758	uptake
Rhizosphere	EX_cpd00149_e0	EX Co2 (cobalt) e0	-3.29e-06	uptake
Rhizosphere	EX_cpd00009_e0	EX PO4 (phosphate e0	-0.0991498	uptake
Rhizosphere	EX_cpd00254_e0	EX Mg (magnesium) e0	-1.65e-06	uptake
Rhizosphere	EX_cpd00063_e0	EX Ca2 (calcium) e0	-1.65e-06	uptake
Rhizosphere	EX_cpd00030_e0	EX Mn2 (manganese) e0	-1.65e-06	uptake
Rhizosphere	EX_cpd10515_e0	EX Fe2 (iron) e0	-3.29e-06	uptake
Rhizosphere	EX_cpd10516_e0	EX Fe3 (iron) e0	-1.65e-06	uptake
Rhizosphere	EX_cpd00034_e0	EX Zn2 (zinc) e0	-1.65e-06	uptake
Rhizosphere	EX_cpd00205_e0	EX K (potassium) e0	-1.65e-06	uptake
Rhizosphere	EX_cpd00971_e0	EX Na (sodium) e0	-1.65e-06	uptake
Rhizosphere	EX_cpd00104_e0	EX Biotin e0	-3.29e-06	uptake
Rhizosphere	EX_cpd00013_e0	EX NH3 (ammonia) e0	-1.10560737	uptake
Rhizosphere	EX_cpd00048_e0	EX SO4 (sulfate) e0	-0.03124126	uptake
Rhizosphere	EX_cpd00076_e0	EX Sucrose e0	-0.02049199	uptake
Rhizosphere	EX_cpd00027_e0	EX D-glucose e0	-0.04098397	uptake
Rhizosphere	EX_cpd00036_e0	EX Succinate e0	-0.12240603	uptake
Rhizosphere	EX_cpd11416_e0	EX Biomass c0	0.16463868	secretion
Rhizosphere	EX_cpd00851_e0	EX trans-4-hydroxy-L-proline e0	-0.26974144	uptake
Rhizosphere	EX_cpd00224_e0	EX L-arabinose e0	-0.26974143	uptake
Rhizosphere	EX_cpd00064_e0	EX L-ornithine e0	-0.00831712	uptake
Rhizosphere	EX_cpd00130_e0	EX L-malate e0	-0.79413596	uptake
Rhizosphere	EX_cpd00108_e0	EX D-galactose e0	-0.18317325	uptake
Rhizosphere	EX_cpd00119_e0	EX L-Histidine e0	-0.00506825	uptake
Rhizosphere	EX_cpd00107_e0	EX L-Leucine e0	-0.00303228	uptake
Rhizosphere	EX_cpd00156_e0	EX L-Valine e0	-0.00337883	uptake
Rhizosphere	EX_cpd00322_e0	EX L-Isoleucine e0	-0.00186269	uptake
Rhizosphere	EX_cpd00382_e0	EX Raffinose e0	-0.01024599	uptake
