condition	reaction_id	flux	reduced_cost	reaction_name
nodule	rxn02380	0.0	0.0	Glucose-6-phosphate isomerase   reaction 1
nodule	rxn01977	0.0	0.0	Glucose-6-phosphate isomerase   reaction 2
nodule	rxn00604	-1.3518954681593672e-16	0.0	Glucose-6-phosphate 1-dehydrogenase
nodule	rxn01476	-1.3518954681593672e-16	0.0	Phosphogluconolactonase
nodule	rxn01477	0.0	0.0	Phosphogluconate dehydratase
nodule	rxn03884	0.0	-0.0	2-dehydro-3-deoxyphosphogluconate aldolase
nodule	rxn00781	0.0	0.0	Glyceraldehyde 3-phosphate dehydrogenase
nodule	rxn01100	0.0	0.0	Phosphoglycerate kinase
nodule	rxn01106	0.22222857142857186	0.0	Phosphoglycerate mutase
nodule	rxn00459	-0.22222857142857183	-0.0	Phosphopyruvate hydratase   Enolase
nodule	rxn00148	0.0	0.0	Pyruvate kinase
nodule	rxn00250	0.5933142857142848	0.0	Pyruvate carboxylase
nodule	rxn00247	0.0	-0.0	Phosphoenolpyruvate carboxykinase
nodule	rxn00747	1.3518954681593672e-16	0.0	Triose phosphate isomerase
nodule	rxn00786	1.3518954681593667e-16	-0.0	Fructose bisphosphate aldolase
nodule	rxn00549	0.0	0.0	Fructose-1 6-bisphosphatase
nodule	rxn01115	-1.3518954681593672e-16	0.0	6 Phospho D gluconate NADP 2 oxidoreductase decarboxylating c0
nodule	rxn00777	1.3518954681593672e-16	-0.0	Ribose-5-phosphate isomerase
nodule	rxn01116	0.0	0.0	Ribulose-5-phosphate epimerase
nodule	rxn01200	0.0	0.0	Transketolase   ribose-5-phosphate xylulose-5-phosphate
nodule	rxn01333	0.0	0.0	Transaldolase
nodule	rxn00785	0.0	0.0	Transketolase   erythrose-4-phosphate xylulose-5-phosphate
nodule	rxn00159	0.0	0.0	NAD-dependent malic enzyme
nodule	rxn00161	1.1121999999999994	0.0	NADP-dependent malic enzyme
nodule	rxn00011p	0.0	0.0	Pyruvate dehydrogenase complex E1   thiamine diphosphate acetaldehyde transferase
nodule	rxn02342	0.0	0.0	Pyruvate dehydrogenase complex E1   Pyruvate dehydrogenase
nodule	rxn01871	0.0	-0.0	Pyruvate dehydrogenase complex E2   Dihydrolipoyl transacetylase
nodule	rxn01241a	0.0	0.0	Pyruvate dehydrogenase complex E3   Dihydrolipoamide dehydrogenase
nodule	rxn00256	0.2966571428571425	0.0	Citrate synthase type II
nodule	rxn00974	0.29665714285714245	0.0	citrate hydro lyase c0
nodule	rxn01388	-0.2966571428571424	0.0	isocitrate hydro lyase c0
nodule	rxn01387	0.0	-0.0	Isocitrate dehydrogenase  reaction 1
nodule	rxn00199	0.0	0.0	Isocitrate dehydrogenase  reaction 2
nodule	rxn00441	-1.2346012523657479e-15	0.0	2-oxoglutarate dehydrogenase E1 component   reaction 1
nodule	rxn02376	-1.2346012523657479e-15	0.0	2-oxoglutarate dehydrogenase E1 component   reaction 2
nodule	rxn01872	1.2346012523657479e-15	-0.0	2-oxoglutarate dehydrogenase E2 component
nodule	rxn01241b	-1.2346012523657475e-15	0.0	2-oxoglutarate dehydrogenase E3 component
nodule	rxn00285	1.234601252365748e-15	-0.0	Succinate-CoA synthetase
nodule	rxn00288	0.0	0.0	Succinate dehydrogenase
nodule	rxn00799	3.8312573838927625e-16	0.0	Fumarate hydratase
nodule	rxn00248	0.0	0.0	Malate dehydrogenase
nodule	rxn00330	0.0	0.0	Malate synthase
nodule	rxn01101	0.22222857142857186	0.0	3-Phospho-glycerate dehydrogenase
nodule	rxn02914	-0.22222857142857186	-0.0	Phosphoserine aminotransferase
nodule	rxn00420	0.22222857142857186	0.0	L O Phosphoserine phosphohydrolase c0
nodule	rxn00692	-0.22222857142857186	-0.0	Serine hydroxymethyltransferase  SHMT
nodule	rxn00179	0.0	0.0	Glutamate 5-kinase
nodule	rxn02373	0.0	0.0	Gamma-glutamyl phosphate reductase
nodule	rxn02374	0.0	0.0	L-Glutamate-5-semialdehyde dehydratase
nodule	rxn00931	0.7452585714285704	0.0	Pyrroline-5-carboxylate reductase
nodule	rxn00192	0.0	0.0	L-glutamate N-acetyltransferase
nodule	rxn01917	0.0	0.0	Acetylglutamate kinase (NAG kinase)
nodule	rxn02465	0.0	0.0	N-acetyl-gamma-glutamyl-phosphate reductase
nodule	rxn01637	0.0	-0.0	N2 Acetyl L ornithine 2 oxoglutarate aminotransferase c0
nodule	rxn00469	0.0	-0.0	Acetylornithine deacetylase
nodule	rxn01636	0.0	0.0	Glutamate N-acetyltransferase
nodule	rxn01019	0.0	0.0	Ornithine carbamoyltransferase
nodule	rxn01434	0.0	0.0	Argininosuccinate synthase
nodule	rxn00802	0.0	0.0	Argininosuccinate lyase
nodule	rxn02339	-0.2966571428571424	-0.0	Aspartate transaminase
nodule	rxn00416	0.0	-0.0	Asparagine synthase
nodule	rxn00187	0.0	0.0	Glutamine synthetase
nodule	rxn00085	-3.0135186282501633e-16	0.0	Glutamate synthase (NADPH) (GOGAT)
nodule	rxn00337	0.2966571428571426	0.0	Aspartate kinase
nodule	rxn01643	0.2966571428571426	0.0	Aspartate-semialdehyde dehydrogenase
nodule	rxn01644	0.0	0.0	Dihydrodipicolinate synthase
nodule	rxn02929	0.0	-0.0	Dihydrodipicolinate reductase
nodule	rxn03031	0.0	0.0	2 3 4 5-tetrahydropyridine-2-carboxylate N-succinyltransferase
nodule	rxn03087	0.0	0.0	N Succinyl L 2 6 diaminoheptanedioate 2 ocoglytarate c0
nodule	rxn01973	0.0	0.0	Succinyl-diaminopimelate desuccinylase
nodule	rxn01974	0.0	0.0	Diaminopimelate epimerase
nodule	rxn00313	0.0	0.0	Diaminopimelate decarboxylase (DAP decarboxylate)
nodule	rxn01301	-0.2966571428571426	-0.0	Homoserine dehydrogenase
nodule	rxn01300	0.0	0.0	Homoserine kinase type II
nodule	rxn01069	0.0	0.0	Threonine synthase
nodule	rxn00423	0.0	0.0	serine O-acetyltransferase
nodule	rxn00649	0.0	0.0	Cysteine synthase
nodule	rxn09240	0.5147414285714299	0.0	Sulfate adenyltransferase c0
nodule	rxn05239	0.5147414285714299	0.0	adenosine 5 phosphate sulfite oxidized thioredoxin oxidoreductase c0
nodule	rxn00623	0.0	-0.0	hydrogen sulfide NADP oxidoreductase c0
nodule	rxn01304	0.2966571428571427	0.0	Homoserine O-succinyltransferase
nodule	rxn05957	0.0	0.0	O-succinylhomoserine sulfhydrylase
nodule	rxn00693	0.0	0.0	B12-dependent methionine synthase
nodule	rxn00770	-1.351895468159367e-16	0.0	Ribose-phosphate pyrophosphokinase
nodule	rxn00789	0.0	0.0	ATP phosphoribosyltransferase
nodule	rxn02834	0.0	0.0	Phosphoribosyl-ATP pyrophosphatase
nodule	rxn02835	0.0	0.0	Phosphoribosyl-AMP cyclohydrolase
nodule	rxn03175	0.0	0.0	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
nodule	rxn03135	0.0	0.0	imidazole glycerol phosphate
nodule	rxn02473	0.0	0.0	Imidazoleglycerol-phosphate dehydratase
nodule	rxn02320	0.0	-0.0	Histidinol-phosphate aminotransferase
nodule	rxn02160	0.0	0.0	L-Histidinol-phosphate phosphohydrolase
nodule	rxn02159	0.0	0.0	Histidinol dehydrogenase
nodule	rxn00863	0.0	0.0	Histidinal dehydrogenase
