gene_id	gene_name	n_reactions	reaction_ids
g1	COBRAProtein1	20	rxn02185;rxn12192;rxnCL4;rxnCL10;rxn03194;rxn00011b;rxnBIOMASS;rxnCL5;rxn01265;rxnCL11;rxnEPSShmw;rxnCL6;rxnCL1;rxnCL7;rxn05294;rxn05145;rxnCL2;rxnCL8;rxnCL3;rxnCL9
g2	COBRAProtein2	11	rxn05116;rxn05319;rxnBLTPcpd00204;rxnBLTPcpd00047;rxn05667;rxn01208;rxn05467;rxnSymCof_c0;rxn02374;rxn05468;rxnBLTPcpd00029
g3	COBRAProtein3	87	rxn00022s;rxnPG6;rxn00549;rxn05147;rxn05039;rxn01331;rxn01176;rxn03150;rxnBLTPcpd00227;rxn05040;rxn08573;rxn03445;rxn00346;rxnGFTP9;rxn00048;rxnPG38;rxn00709;rxn01213;rxn02946;rxnBLTPcpd00138;rxn01790;rxn01466;rxnGFTPcpd00919;rxnLPS3;rxnBLTPcpd00128;rxnPG12;rxn02004;rxn00278;rxn02404;rxn05167;rxnBLTPcpd00149;rxn03087;rxn00966;rxnNAGALAMa;rxnTRE2;rxn05160;rxn00029;rxn01830;rxn13085;rxn03393;rxnPAL2;rxn03004;rxn01633;rxn03394;rxn05514;rxnBLTPcpd00207;rxnMALT2;rxn00979;rxnBLTPcpd00311;rxn00192;rxnPG18;rxn02304;rxnGFTPcpd00441;rxnBLTPcpd00851;rxnBLTPcpd00274;rxn11650;rxn05195;rxnGFTPcpd01078;rxnBLTPcpd02175;rxnBLTPcpd00182;rxn05150;rxnBLTPcpd05158;rxn02174;rxn02071;rxnBLTPcpd00246;rxnEPSS9;rxn02173;rxnGFTP5;rxnPG22;rxn01486;rxnRB7;rxn01609;rxn01748;rxn13799_e0;rxn00623;rxnTHIZsyn;rxn01257b;rxnRB5;rxnEPSG3;rxn03841;rxnEPSG4;rxnPG26;rxnNFBS1;rxn05651;rxn00300;rxn06033;rxn00416
g4	COBRAProtein4	1	rxn10114
g5	COBRAProtein5	1	rxn10114
g6	COBRAProtein6	1	rxn10114
g7	COBRAProtein7	1	rxn10114
g8	COBRAProtein8	1	rxn09244
g9	COBRAProtein9	1	rxn09244
g10	COBRAProtein10	1	rxn02569
g11	COBRAProtein11	1	rxn01121_c0
g12	COBRAProtein12	1	rxn01101
g13	COBRAProtein13	1	rxn00849
g14	COBRAProtein14	2	rxn08853;rxn10144
g15	COBRAProtein15	2	rxn08853;rxn10144
g16	COBRAProtein16	2	rxn08853;rxn10144
g17	COBRAProtein17	2	rxn08853;rxn10144
g18	COBRAProtein18	2	rxn08853;rxn10144
g19	COBRAProtein19	1	rxn13784
g20	COBRAProtein20	1	rxnMatB
g21	COBRAProtein21	2	rxn12569;rxn00174
g22	COBRAProtein22	1	rxn12569
g23	COBRAProtein23	1	rxn12569
g24	COBRAProtein24	1	rxnPolyPi1
g25	COBRAProtein25	1	rxn05147
g26	COBRAProtein26	2	rxn05147;rxn05549_c0
g27	COBRAProtein27	1	rxn05147
g28	COBRAProtein28	1	rxn05147
g29	COBRAProtein29	2	rxn01286_c0;rxn00506_c0
g30	COBRAProtein30	1	rxn00182
g31	COBRAProtein31	1	rxn00605_c0
g32	COBRAProtein32	1	rxn01477
g33	COBRAProtein33	1	rxn00509
g34	COBRAProtein34	1	rxn00763_c0
g35	COBRAProtein35	1	rxn05549_c0
g36	COBRAProtein36	1	rxn05549_c0
g37	COBRAProtein37	3	rxn02320;rxn00493;rxn00527
g38	COBRAProtein38	1	rxn01101
g39	COBRAProtein39	2	rxn03953_c0;rxn03954_c0
g40	COBRAProtein40	1	rxnGFTPcpd00209
g41	COBRAProtein41	1	rxnGFTPcpd00209
g42	COBRAProtein42	1	rxnGFTPcpd00209
g43	COBRAProtein43	2	rxn10481_c0;rxn05528_c0
g44	COBRAProtein44	1	rxnPolyPi1
g45	COBRAProtein45	1	rxn00470
g46	COBRAProtein46	1	rxn00405
g47	COBRAProtein47	1	rxn00395
g48	COBRAProtein48	1	rxn01019
g49	COBRAProtein49	1	rxn00114
g50	COBRAProtein50	1	rxnPBdm1
g51	COBRAProtein51	1	rxnPBdm1
g52	COBRAProtein52	1	rxnPBdm1
g53	COBRAProtein53	1	rxn00058
g54	COBRAProtein54	1	rxn00058
g55	COBRAProtein55	1	rxn00058
g56	COBRAProtein56	1	rxn00058
g57	COBRAProtein57	2	rxn10481_c0;rxn05528_c0
g58	COBRAProtein58	1	rxnNFBS10
g59	COBRAProtein59	2	rxn01286_c0;rxn00506_c0
g60	COBRAProtein60	1	rxn00509
g61	COBRAProtein61	1	rxn05937_c0
g62	COBRAProtein62	1	rxn06874_c0
