condition	reaction_id	flux	reduced_cost
nodule_max_n2	rxn02380	0.0	0.0
nodule_max_n2	rxn01977	0.0	0.0
nodule_max_n2	rxn00604	-2.6095726906258342e-16	0.0
nodule_max_n2	rxn01476	-2.6095726906258347e-16	0.0
nodule_max_n2	rxn01477	0.0	0.0
nodule_max_n2	rxn03884	0.0	0.0
nodule_max_n2	rxn00781	0.0	0.0
nodule_max_n2	rxn01100	0.0	0.0
nodule_max_n2	rxn01106	0.2222285714285896	0.0
nodule_max_n2	rxn00459	-0.2222285714285896	-0.0
nodule_max_n2	rxn00148	0.0	0.0
nodule_max_n2	rxn00250	0.5933142857142676	0.0
nodule_max_n2	rxn00247	0.0	-0.0
nodule_max_n2	rxn00747	2.609572690625838e-16	-0.0
nodule_max_n2	rxn00786	2.609572690625834e-16	0.0
nodule_max_n2	rxn00549	0.0	0.0
nodule_max_n2	rxn01115	-2.6095726906258347e-16	0.0
nodule_max_n2	rxn00777	2.609572690625834e-16	-0.0
nodule_max_n2	rxn01116	-6.095351462767631e-32	0.0
nodule_max_n2	rxn01200	0.0	0.0
nodule_max_n2	rxn01333	0.0	0.0
nodule_max_n2	rxn00785	6.095351462767631e-32	0.0
nodule_max_n2	rxn00159	0.0	0.0
nodule_max_n2	rxn00161	1.1122	0.0
nodule_max_n2	rxn00011p	0.0	0.0
nodule_max_n2	rxn02342	0.0	0.0
nodule_max_n2	rxn01871	0.0	-0.0
nodule_max_n2	rxn01241a	0.0	0.0
nodule_max_n2	rxn00256	0.29665714285712436	0.0
nodule_max_n2	rxn00974	0.2966571428571243	0.0
nodule_max_n2	rxn01388	-0.29665714285712425	0.0
nodule_max_n2	rxn01387	0.0	-0.0
nodule_max_n2	rxn00199	0.0	0.0
nodule_max_n2	rxn00441	0.0	0.0
nodule_max_n2	rxn02376	0.0	0.0
nodule_max_n2	rxn01872	0.0	-0.0
nodule_max_n2	rxn01241b	0.0	0.0
